"DateTime","horizon","TTT","Rad1h","Neff","RR1c","FF","FX1","AT_Load_DayAhead","AT_Load_Actual","DateTimeCET","SummerTime","HoD","DoW","DoY","HoDDST","DoWDST","DoYDST","HU_Load_Actual","DE_Load_Actual","CZ_Load_Actual","SK_Load_Actual","SI_Load_Actual","is_holiday","x_lag_24","x_lag_168"
2022-12-24 00:00:00,16,279.316666666667,0,84.3333333333333,0.266666666666667,1.71333333333333,3.94333333333333,NA,5756.71283869504,2022-12-24 01:00:00,0,0,6,358,1,6,358,4294.34138892557,47277.2292195912,6073.76156224746,2544.92376206197,1259.23065063182,"0",6034.86550135067,5739.30978746482
2022-12-24 01:00:00,17,279.483333333333,0,85,0.133333333333333,2.05666666666667,4.63,NA,5541.56937574643,2022-12-24 02:00:00,0,1,6,358,2,6,358,4098.03970767111,46377.5531578797,6035.34605058946,2525.24114942503,1237.07549236193,"0",5799.92627544177,5463.57254226888
2022-12-24 02:00:00,18,279.716666666667,0,81.6666666666667,0.133333333333333,2.23,3.605,NA,5455.97020766994,2022-12-24 03:00:00,0,2,6,358,3,6,358,4024.23600834247,46173.9140491609,6064.70135802679,2526.54871524405,1234.5628185757,"0",5787.11658763136,5484.71970938449
2022-12-24 03:00:00,19,279.883333333333,0,80.6666666666667,0.1,2.4,3.345,NA,5504.83585562479,2022-12-24 04:00:00,0,3,6,358,4,6,358,4020.67127953139,45959.986434894,6183.25599797039,2562.42028314748,1250.6728511472,"0",5958.45199414703,5545.81460509629
2022-12-24 04:00:00,20,279.95,0,81,0,2.57,3.345,NA,5770.20707763236,2022-12-24 05:00:00,0,4,6,358,5,6,358,4186.90403668614,46645.221204186,6305.69576972413,2650.87289641162,1315.96546970859,"0",6458.79946651287,5733.75594852417
2022-12-24 05:00:00,21,279.983333333333,0,88.6666666666667,0,2.74333333333333,3.085,NA,6151.6751258548,2022-12-24 06:00:00,0,5,6,358,6,6,358,4381.53936678598,47339.3764146316,6561.36059415584,2833.68967682058,1450.37146899995,"0",7203.33097101624,6078.16467471177
2022-12-24 06:00:00,22,280.083333333333,0,77.6666666666667,0,2.57,3.605,NA,6685.73205426132,2022-12-24 07:00:00,0,6,6,358,7,6,358,4699.57475820162,49424.5097510088,6911.33102856777,2973.0585336583,1578.39586265972,"0",8009.45382480078,6662.34384622406
2022-12-24 07:00:00,23,280.216666666667,0,75.6666666666667,0,2.57,3.605,NA,7056.7732066629,2022-12-24 08:00:00,0,7,6,358,8,6,358,4931.19865986945,52585.4864911707,7223.51519363515,3107.00633257969,1644.69116332452,"0",8328.32534092217,7048.91159554422
2022-12-24 08:00:00,24,280.683333333333,100,75.3333333333333,0,2.74333333333333,3.605,NA,7250.60801937402,2022-12-24 09:00:00,0,8,6,358,9,6,358,5080.58540558385,54945.048448588,7513.56378839846,3224.9236644079,1655.57407667154,"0",8316.61001395181,7240.40334079349
2022-12-24 09:00:00,1,281.816666666667,330,71.3333333333333,0,2.74333333333333,6.51666666666667,NA,7455.95658269264,2022-12-24 10:00:00,0,9,6,358,10,6,358,5136.35041363603,57053.5380726329,7743.90552920898,3265.41826561237,1659.99178070564,"0",8377.56898316249,7405.09255245041
2022-12-24 10:00:00,2,282.45,530,69.6666666666667,0,2.91666666666667,6.69,NA,7500.94835419902,2022-12-24 11:00:00,0,10,6,358,11,6,358,5211.62754132216,58267.6954500937,7833.73182067038,3332.78298775029,1667.315571106,"0",8357.72464138926,7457.02046655185
2022-12-24 11:00:00,3,283.316666666667,660,66.6666666666667,0,3.08666666666667,6.69,NA,7389.57549467607,2022-12-24 12:00:00,0,11,6,358,12,6,358,5204.40743904294,58418.1450892803,7759.47765654295,3295.61968172836,1646.77091164642,"0",8266.41698274474,7353.86314228499
2022-12-24 12:00:00,4,283.883333333333,700,65,0,2.91666666666667,6.52,NA,7233.18248779188,2022-12-24 13:00:00,0,12,6,358,13,6,358,5147.86435418727,57324.7710563219,7696.89739768696,3229.21703551417,1595.6636507629,"0",8166.66720045326,7190.79195813435
2022-12-24 13:00:00,5,284.016666666667,590,63.6666666666667,0,2.91666666666667,6,NA,7064.08442875531,2022-12-24 14:00:00,0,13,6,358,14,6,358,5094.79088788172,55828.2164857714,7601.26517146802,3167.26342806086,1549.04909889495,"0",8018.97558975523,7020.063702485
2022-12-24 14:00:00,6,283.716666666667,390,62.3333333333333,0,2.57,5.83,NA,7016.5169208659,2022-12-24 15:00:00,0,14,6,358,15,6,358,5150.63451150112,55173.8630384445,7549.03051998564,3133.40601906889,1550.31184972667,"0",7996.07092233699,6968.71309755473
2022-12-24 15:00:00,7,283.05,120,61.3333333333333,0,2.4,5.14333333333333,NA,7182.31164628743,2022-12-24 16:00:00,0,15,6,358,16,6,358,5312.38632398144,56100.5092146813,7580.02031355953,3205.8951642734,1599.71430775271,"0",8150.73227998847,7139.98732409538
2022-12-24 16:00:00,8,282.25,0,59.3333333333333,0,2.23,4.63333333333333,NA,7384.35336490036,2022-12-24 17:00:00,0,16,6,358,17,6,358,5406.16471085373,57933.82697256,7514.4445862678,3199.24449596701,1648.06261101954,"0",8295.64363936479,7361.15904795781
2022-12-24 17:00:00,9,281.416666666667,0,58.3333333333333,0,2.05666666666667,4.29,NA,7368.18359623573,2022-12-24 18:00:00,0,17,6,358,18,6,358,5388.28335974163,58640.685794894,7464.40619321699,3175.13662862547,1674.22137230544,"0",8225.30772856749,7336.71454803881
2022-12-24 18:00:00,10,280.85,0,61,0,1.88333333333333,3.94666666666667,NA,7126.09739225712,2022-12-24 19:00:00,0,18,6,358,19,6,358,5306.69963001269,57679.0944888362,7317.95666519282,3128.59910868606,1656.76284787719,"0",7961.64366500646,7086.99173062378
2022-12-24 19:00:00,11,280.45,0,61.3333333333333,0,1.88333333333333,3.94666666666667,NA,6769.17593665939,2022-12-24 20:00:00,0,19,6,358,20,6,358,5160.47630883356,55384.5884555971,7125.43026148321,3029.54747521644,1584.76910026552,"0",7555.68895497024,6722.41541095878
2022-12-24 20:00:00,12,280.083333333333,0,63.6666666666667,0,1.71333333333333,3.77333333333333,NA,6498.00104967043,2022-12-24 21:00:00,0,20,6,358,21,6,358,4966.9351968397,52769.7747382156,6820.96530016436,2885.87084165743,1482.91808922253,"0",7223.40962893621,6445.92907658473
2022-12-24 21:00:00,13,279.85,0,69.6666666666667,0,1.54333333333333,3.43,NA,6242.53569940022,2022-12-24 22:00:00,0,21,6,358,22,6,358,4701.80999827054,51013.0064821918,6515.17466448688,2735.92546764605,1384.69867922594,"0",6883.54739449242,6195.45482841376
2022-12-24 22:00:00,14,279.616666666667,0,71.3333333333333,0,1.37,3.08333333333333,NA,5915.85229334222,2022-12-24 23:00:00,0,22,6,358,23,6,358,4411.63541872654,48608.8289503194,6206.15211280504,2595.29117620172,1290.7619164553,"0",6501.85131373767,5858.94780284276
