"DateTime","horizon","TTT","Rad1h","Neff","RR1c","FF","FX1","HU_Load_DayAhead","HU_Load_Actual","DateTimeCET","SummerTime","HoD","DoW","DoY","HoDDST","DoWDST","DoYDST","AT_Load_Actual","DE_Load_Actual","CZ_Load_Actual","SK_Load_Actual","SI_Load_Actual","is_holiday","x_lag_24","x_lag_168"
2022-12-27 21:00:00,13,275.216666666667,0,37.3333333333333,0,2.22666666666667,4.11666666666667,NA,4928.71846390293,2022-12-27 22:00:00,0,21,2,361,22,2,361,7048.05565383835,57634.8376149937,7357.05002008704,2984.92201064833,1484.42158483963,"0",4646.10147926431,4983.09486675754
2022-12-27 22:00:00,14,274.55,0,34,0,1.71666666666667,4.11666666666667,NA,4625.45916257966,2022-12-27 23:00:00,0,22,2,361,23,2,361,6680.58174215717,54244.5401160275,6924.05833131527,2822.76641015876,1383.74411503051,"0",4375.24340480064,4681.60744091727
2022-12-27 23:00:00,15,274.083333333333,0,33,0,1.54333333333333,3.94666666666667,NA,4625.45916257966,2022-12-28 00:00:00,0,23,2,361,0,3,362,6272.30109902893,51234.4474745427,6747.0571016401,2688.13591126488,1300.02666183081,"0",NA,NA
2022-12-28 00:00:00,16,273.55,0,31.6666666666667,0,1.54333333333333,3.60333333333333,NA,4130.47458760656,2022-12-28 01:00:00,0,0,3,362,1,3,362,5965.21211795002,48766.7119449895,6676.53682022326,2604.18512435688,1252.92081447832,"0",4113.75743724182,4067.97741327974
2022-12-28 01:00:00,17,273.216666666667,0,33.6666666666667,0,1.54333333333333,3.60333333333333,NA,3991.20175314506,2022-12-28 02:00:00,0,1,3,362,2,3,362,5834.75665601316,47684.0180086306,6541.39009569777,2585.45809760031,1233.4818953995,"0",3982.90483920661,3930.42605633066
2022-12-28 02:00:00,18,272.883333333333,0,34,0,1.37,3.43,NA,3945.51525568687,2022-12-28 03:00:00,0,2,3,362,3,3,362,5767.63168729141,47877.8984394622,6541.44036180974,2609.86112567683,1234.06502556681,"0",3936.05899612866,3882.53991520803
2022-12-28 03:00:00,19,272.616666666667,0,33,0,1.37,3.25666666666667,NA,4002.03722280061,2022-12-28 04:00:00,0,3,3,362,4,3,362,5843.00922557042,48761.2595946299,6749.05975622008,2710.43587815535,1272.45543913905,"0",3994.72021862512,3935.88721798638
2022-12-28 04:00:00,20,272.25,0,37.3333333333333,0,1.37,3.25666666666667,NA,4196.07356375042,2022-12-28 05:00:00,0,4,3,362,5,3,362,6229.27097478765,51876.7206310338,7254.61237875707,2900.6530312501,1402.75830344297,"0",4179.57399965642,4136.55951873688
2022-12-28 05:00:00,21,272.116666666667,0,38.6666666666667,0,1.37333333333333,3.43333333333333,NA,4706.41556573988,2022-12-28 06:00:00,0,5,3,362,6,3,362,7028.689932192,56716.6443290508,8057.76673415522,3181.70395232468,1609.95070653602,"0",4660.22859847065,4680.72323069351
2022-12-28 06:00:00,22,272.116666666667,0,47,0,1.54333333333333,3.43333333333333,NA,5067.9847165213,2022-12-28 07:00:00,0,6,3,362,7,3,362,7866.28678366089,62154.9802784111,8549.31216440464,3372.67337490449,1759.55682981258,"0",4999.20138747953,5060.98720188956
2022-12-28 07:00:00,23,272.783333333333,10,47.6666666666667,0,1.71333333333333,3.43333333333333,NA,5264.49755513938,2022-12-28 08:00:00,0,7,3,362,8,3,362,8291.06117798024,65485.3048617709,8733.88044823994,3491.99607759126,1798.82985687893,"0",5195.76021199638,5252.73103681826
2022-12-28 08:00:00,24,273.916666666667,190,47.6666666666667,0,1.88333333333333,3.94333333333333,NA,5332.04726316408,2022-12-28 09:00:00,0,8,3,362,9,3,362,8417.7051622307,66325.3894383332,8821.56610619565,3552.00022645544,1786.15406104124,"0",5285.63355403797,5313.81910349912
2022-12-28 09:00:00,1,275.283333333333,620,37.6666666666667,0,1.88666666666667,4.45666666666667,NA,5220.96265310567,2022-12-28 10:00:00,0,9,3,362,10,3,362,8454.55035758631,66673.1045715195,8830.51291745521,3537.68008040147,1782.36640228544,"0",5174.40532594983,5243.21712654888
2022-12-28 10:00:00,2,276.65,NA,39.3333333333333,0,2.4,4.97,NA,5318.23223224351,2022-12-28 11:00:00,0,10,3,362,11,3,362,8475.46686931153,67215.8273253824,8889.30598286929,3578.85834314165,1791.86884390592,"0",5222.24815583461,5322.13758606938
2022-12-28 11:00:00,3,277.583333333333,NA,43.3333333333333,0,2.4,4.97,NA,5415.50181138135,2022-12-28 12:00:00,0,11,3,362,12,3,362,8430.10045785516,67533.3095818263,8938.49917824283,3557.48253484534,1780.5108905882,"0",5285.56368681186,5409.28266117008
2022-12-28 12:00:00,4,278.316666666667,60,46,0,2.57333333333333,4.97333333333333,NA,5512.77139051919,2022-12-28 13:00:00,0,12,3,362,13,3,362,8305.69250687151,67314.0266168332,8918.26195153278,3522.03194748151,1741.5662508472,"0",5286.32280940968,5430.40175050266
2022-12-28 13:00:00,5,278.316666666667,910,50,0,2.57333333333333,4.97333333333333,NA,5403.09308393252,2022-12-28 14:00:00,0,13,3,362,14,3,362,8174.68463533844,66290.5359679784,8794.9970607948,3484.83063603386,1706.16638699391,"0",5319.61078832894,5434.32234448858
2022-12-28 14:00:00,6,277.783333333333,600,52,0,2.4,4.97,NA,5530.49832033826,2022-12-28 15:00:00,0,14,3,362,15,3,362,8147.23886001186,65613.0375677583,8769.48726073713,3466.36832414618,1707.94876943281,"0",5420.88462978533,5551.28102931831
2022-12-28 15:00:00,7,277.083333333333,200,51.3333333333333,0,2.23,4.63,NA,5730.4815597739,2022-12-28 16:00:00,0,15,3,362,16,3,362,8235.87329310856,65683.8064356072,8833.20423173689,3538.77235595009,1749.99353259366,"0",5620.00136053934,5739.71915802832
2022-12-28 16:00:00,8,276.083333333333,0,47.3333333333333,0,2.23,4.63,NA,5801.53478567305,2022-12-28 17:00:00,0,16,3,362,17,3,362,8428.42056417465,66751.5279490539,8793.04887130955,3543.43153075821,1796.97903696998,"0",5704.07788217499,5812.8528411301
2022-12-28 17:00:00,9,275.05,0,42.6666666666667,0,2.05666666666667,4.29,NA,5775.10647580273,2022-12-28 18:00:00,0,17,3,362,18,3,362,8498.3399355698,67552.3059236525,8674.70495066237,3528.15301529578,1830.29655242981,"0",5685.73250810079,5793.91453632608
2022-12-28 18:00:00,10,274.25,0,39.6666666666667,0,1.88333333333333,4.11666666666667,NA,5713.10231763154,2022-12-28 19:00:00,0,18,3,362,19,3,362,8239.78951505657,66800.9577841673,8554.33209156034,3480.07115417016,1818.70348247683,"0",5623.29316969823,5732.1181559681
